INFO 2026-02-16 19:38:42,572 log 15144 18744 "GET /static/admin/js/inlines.js HTTP/1.1" 200 15628
INFO 2026-02-16 19:38:42,581 log 15144 18744 "GET /static/admin/img/icon-unknown.svg HTTP/1.1" 200 806
INFO 2026-02-16 19:38:42,733 log 15144 18076 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-16 19:38:48,056 log 15144 18076 "GET /admin/django_celery_beat/crontabschedule/ HTTP/1.1" 200 17383
INFO 2026-02-16 19:38:55,807 autoreload 15144 15536 E:\chatting_app\chat\security\admin.py changed, reloading.
INFO 2026-02-16 19:38:57,896 autoreload 12464 18676 Watching for file changes with StatReloader
INFO 2026-02-16 19:39:08,647 log 12464 17364 "GET /admin/django_celery_beat/crontabschedule/ HTTP/1.1" 200 17383
INFO 2026-02-16 19:39:08,678 log 12464 17364 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2026-02-16 19:39:08,681 log 12464 18736 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2026-02-16 19:39:08,682 log 12464 8448 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2026-02-16 19:39:08,689 log 12464 14028 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2026-02-16 19:39:08,693 log 12464 2124 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2026-02-16 19:39:08,698 log 12464 2124 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2026-02-16 19:39:08,767 log 12464 9588 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-16 19:39:09,763 log 12464 9588 "GET /admin/django_celery_results/taskresult/add/ HTTP/1.1" 200 29197
INFO 2026-02-16 19:39:12,287 log 12464 9588 "GET /admin/django_celery_results/taskresult/add/ HTTP/1.1" 200 29197
INFO 2026-02-16 19:39:12,373 log 12464 9588 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-16 19:39:16,189 log 12464 9588 "GET /admin/ HTTP/1.1" 200 19066
INFO 2026-02-16 19:39:16,218 log 12464 9588 "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2026-02-16 19:39:16,232 log 12464 2124 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2026-02-16 19:39:16,232 log 12464 9588 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2026-02-16 19:39:28,219 log 12464 9588 "GET /admin/security/loginhistory/ HTTP/1.1" 200 17380
INFO 2026-02-16 19:39:28,252 log 12464 9588 "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2026-02-16 19:39:28,264 log 12464 18736 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2026-02-16 19:39:28,268 log 12464 8448 "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2026-02-16 19:39:28,268 log 12464 17364 "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2026-02-16 19:39:28,271 log 12464 2124 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2026-02-16 19:39:28,272 log 12464 14028 "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2026-02-16 19:39:28,273 log 12464 18736 "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2026-02-16 19:39:28,274 log 12464 8448 "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2026-02-16 19:39:28,278 log 12464 17364 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2026-02-16 19:39:28,291 log 12464 17364 "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2026-02-16 19:39:28,336 log 12464 9588 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-16 19:39:28,364 log 12464 9588 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
